???	led	verb:past_participle+
???	led	verb:present_participle+
led	led	verb:simple_present+
leds	led	verb:simple_present+
???	led	verb:simple_past+
???	led	verb:past_participle+
???	led	verb:present_participle+
lean	lean	verb:simple_present+
leans	lean	verb:simple_present+
leaned	lean	verb:simple_past+
leant	lean	verb:simple_past+
leaned	lean	verb:past_participle+
leant	lean	verb:past_participle+
leaning	lean	verb:present_participle+
leaning	lean	verb:present_participle
lean	lean	adjective
leant	leant	verb:simple_present+
leants	leant	verb:simple_present+
leanted	leant	verb:simple_past+
leanted	leant	verb:past_participle+
leanting	leant	verb:present_participle+
leant	leant	verb:simple_present+
leants	leant	verb:simple_present+
leanted	leant	verb:simple_past+
leanted	leant	verb:past_participle+
leanting	leant	verb:present_participle+
leaned	leaned	verb:simple_present+
leaneds	leaned	verb:simple_present+
???	leaned	verb:simple_past+
???	leaned	verb:past_participle+
???	leaned	verb:present_participle+
leaned	leaned	verb:simple_present+
leaneds	leaned	verb:simple_present+
???	leaned	verb:simple_past+
???	leaned	verb:past_participle+
???	leaned	verb:present_participle+
leapt	leapt	verb:simple_present+
leapts	leapt	verb:simple_present+
leapted	leapt	verb:simple_past+
leapted	leapt	verb:past_participle+
leapting	leapt	verb:present_participle+
leapt	leapt	verb:simple_present+
leapts	leapt	verb:simple_present+
leapted	leapt	verb:simple_past+
leapted	leapt	verb:past_participle+
leapting	leapt	verb:present_participle+
leaped	leaped	verb:simple_present+
leapeds	leaped	verb:simple_present+
???	leaped	verb:simple_past+
???	leaped	verb:past_participle+
???	leaped	verb:present_participle+
leaped	leaped	verb:simple_present+
leapeds	leaped	verb:simple_present+
???	leaped	verb:simple_past+
???	leaped	verb:past_participle+
???	leaped	verb:present_participle+
learned	learned	verb:simple_present+
learneds	learned	verb:simple_present+
???	learned	verb:simple_past+
???	learned	verb:past_participle+
???	learned	verb:present_participle+
learned	learned	verb:simple_present+
learneds	learned	verb:simple_present+
???	learned	verb:simple_past+
???	learned	verb:past_participle+
???	learned	verb:present_participle+
learned	learned	adjective
learnt	learnt	verb:simple_present+
learnts	learnt	verb:simple_present+
learnted	learnt	verb:simple_past+
learnted	learnt	verb:past_participle+
learnting	learnt	verb:present_participle+
learnt	learnt	verb:simple_present+
learnts	learnt	verb:simple_present+
learnted	learnt	verb:simple_past+
learnted	learnt	verb:past_participle+
learnting	learnt	verb:present_participle+
leave	leave	verb:simple_present+
leaves	leave	verb:simple_present+
left	leave	verb:simple_past+
left	leave	verb:past_participle+
leaving	leave	verb:present_participle+
leave	leave	verb:simple_present+intransitive
leaves	leave	verb:simple_present+intransitive
left	leave	verb:simple_past+intransitive
left	leave	verb:past_participle+intransitive
leaving	leave	verb:present_participle+intransitive
leave	leave	verb:simple_present+transitive
leaves	leave	verb:simple_present+transitive
left	leave	verb:simple_past+transitive
left	leave	verb:past_participle+transitive
leaving	leave	verb:present_participle+transitive
leave	leave	noun
lend	lend	verb:simple_present+
lends	lend	verb:simple_present+
lent	lend	verb:simple_past+
lent	lend	verb:past_participle+
lending	lend	verb:present_participle+
lent	lent	verb:simple_present+
lents	lent	verb:simple_present+
lented	lent	verb:simple_past+
lented	lent	verb:past_participle+
lenting	lent	verb:present_participle+
lent	lent	verb:simple_present+
lents	lent	verb:simple_present+
lented	lent	verb:simple_past+
lented	lent	verb:past_participle+
lenting	lent	verb:present_participle+
lent	lent	proper noun
let	let	verb:simple_present+
lets	let	verb:simple_present+
let	let	verb:simple_past+
let	let	verb:past_participle+
???	let	verb:present_participle+
let	let	verb:simple_present+
lets	let	verb:simple_present+
let	let	verb:simple_past+
let	let	verb:past_participle+
???	let	verb:present_participle+
let	let	noun
lie	lie	verb:simple_present+
lies	lie	verb:simple_present+
lay	lie	verb:simple_past+
lied	lie	verb:simple_past+
lain	lie	verb:past_participle+
lied	lie	verb:past_participle+
lying	lie	verb:present_participle+
lie	lie	verb:simple_present+
lies	lie	verb:simple_present+
lay	lie	verb:simple_past+
lied	lie	verb:simple_past+
lain	lie	verb:past_participle+
lied	lie	verb:past_participle+
lying	lie	verb:present_participle+
lie	lie	noun
lies	lie	noun:plural
lain	lain	verb:simple_present+
lains	lain	verb:simple_present+
lained	lain	verb:simple_past+
lained	lain	verb:past_participle+
laining	lain	verb:present_participle+
lied	lied	verb:simple_present+
lieds	lied	verb:simple_present+
lieded	lied	verb:simple_past+
lieded	lied	verb:past_participle+
lieding	lied	verb:present_participle+
lied	lied	verb:simple_present+
lieds	lied	verb:simple_present+
lieded	lied	verb:simple_past+
lieded	lied	verb:past_participle+
lieding	lied	verb:present_participle+
light	light	verb:simple_present+
lights	light	verb:simple_present+
lit	light	verb:simple_past+
lighted	light	verb:simple_past+
lit	light	verb:past_participle+
lighted	light	verb:past_participle+
lighting	light	verb:present_participle+
lighting	light	verb:present_participle
light	light	noun
lights	light	noun:plural
light	light	adjective
light	light	verb:simple_present+
lights	light	verb:simple_present+
lit	light	verb:simple_past+
lighted	light	verb:simple_past+
lit	light	verb:past_participle+
lighted	light	verb:past_participle+
lighting	light	verb:present_participle+
lighting	light	verb:present_participle
lit	lit	verb:simple_present+
lits	lit	verb:simple_present+
???	lit	verb:simple_past+
???	lit	verb:past_participle+
???	lit	verb:present_participle+
lit	lit	verb:simple_present+
lits	lit	verb:simple_present+
???	lit	verb:simple_past+
???	lit	verb:past_participle+
???	lit	verb:present_participle+
lighted	lighted	verb:simple_present+
lighteds	lighted	verb:simple_present+
???	lighted	verb:simple_past+
???	lighted	verb:past_participle+
???	lighted	verb:present_participle+
lighted	lighted	verb:simple_present+
lighteds	lighted	verb:simple_present+
???	lighted	verb:simple_past+
???	lighted	verb:past_participle+
???	lighted	verb:present_participle+
lost	lost	verb:simple_present+
losts	lost	verb:simple_present+
losted	lost	verb:simple_past+
losted	lost	verb:past_participle+
losting	lost	verb:present_participle+
lost	lost	verb:simple_present+
losts	lost	verb:simple_present+
losted	lost	verb:simple_past+
losted	lost	verb:past_participle+
losting	lost	verb:present_participle+
legal	legal	adjective
legible	legible	adjective
lingo	lingo	noun
leet	leet	verb:simple_present+
leets	leet	verb:simple_present+
leeted	leet	verb:simple_past+
leeted	leet	verb:past_participle+
leeting	leet	verb:present_participle+
leet	leet	noun
leet	leet	noun
leet	leet	noun
leet	leet	noun
leet	leet	adjective
leukemia	leukemia	noun
leukocyte	leukocyte	noun
leukocytes	leukocyte	noun:plural
longevity	longevity	noun
larka	larka	noun
larka	larka	noun
limo	limo	noun
limos	limo	noun:plural
lark	lark	noun
lark	lark	verb:simple_present+
larks	lark	verb:simple_present+
larked	lark	verb:simple_past+
larked	lark	verb:past_participle+
larking	lark	verb:present_participle+
lake	lake	noun
lakes	lake	noun:plural
