ID,Name,Date,Artist,Picture,Wikipedia,Checked
0,Woman in a hairnet,1938,Pablo Picasso,gifPlus/picasso_1.jpg,http://en.wikipedia.org/wiki/Picasso,true 
1,The dream,1932,Pablo Picasso,gifPlus/picasso_2.jpg,http://en.wikipedia.org/wiki/Picasso,true 
2,Seated Woman,1932,Pablo Picasso,gifPlus/picasso_3.jpg,http://en.wikipedia.org/wiki/Picasso,true 
3,Figures on a beach,1931,Pablo Picasso,gifPlus/,picasso_4.jpg,http://en.wikipedia.org/wiki/Picasso
4,House in a garden,1908,Pablo Picasso,gifPlus/picasso_5.jpg,http://en.wikipedia.org/wiki/Picasso,true 
5,Woman with flower,1932,Pablo Picasso,gifPlus/picasso_6.jpg,http://en.wikipedia.org/wiki/Picasso,true 
6,La fermiere,1908,Pablo Picasso,gifPlus/picasso_7.jpg,http://en.wikipedia.org/wiki/Picasso,true 
7,L ascete,1903,Pablo Picasso,gifPlus/picasso_8.jpg,http://en.wikipedia.org/wiki/Picasso,true 
